"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","COMPONENT_OF_GDHI","COMPONENT_OF_GDHI_NAME","COMPONENT_OF_GDHI_CODE","COMPONENT_OF_GDHI_TYPE","COMPONENT_OF_GDHI_TYPECODE","COMPONENT_OF_GDHI_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1998","1998","1998","date",0,1,"2013265932","Northern Ireland","N92000002","regions",480,11,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",8590,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31968e1d2013265932d0d2d20100",47,624
"1999","1999","1999","date",0,2,"2013265921","North East","E12000001","regions",480,0,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",24212,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265921d0d1d20100",48,624
"1999","1999","1999","date",0,2,"2013265921","North East","E12000001","regions",480,0,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9494,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265921d0d2d20100",49,624
"1999","1999","1999","date",0,2,"2013265922","North West","E12000002","regions",480,1,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",69497,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265922d0d1d20100",50,624
"1999","1999","1999","date",0,2,"2013265922","North West","E12000002","regions",480,1,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",10261,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265922d0d2d20100",51,624
"1999","1999","1999","date",0,2,"2013265923","Yorkshire and The Humber","E12000003","regions",480,2,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",50550,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265923d0d1d20100",52,624
"1999","1999","1999","date",0,2,"2013265923","Yorkshire and The Humber","E12000003","regions",480,2,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",10199,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265923d0d2d20100",53,624
"1999","1999","1999","date",0,2,"2013265924","East Midlands","E12000004","regions",480,3,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",42710,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265924d0d1d20100",54,624
"1999","1999","1999","date",0,2,"2013265924","East Midlands","E12000004","regions",480,3,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",10285,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265924d0d2d20100",55,624
"1999","1999","1999","date",0,2,"2013265925","West Midlands","E12000005","regions",480,4,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",54568,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265925d0d1d20100",56,624
"1999","1999","1999","date",0,2,"2013265925","West Midlands","E12000005","regions",480,4,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",10351,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265925d0d2d20100",57,624
"1999","1999","1999","date",0,2,"2013265926","East","E12000006","regions",480,5,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",63096,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265926d0d1d20100",58,624
