region,region_code,metric,year,value,source,data_type,ci_lower,ci_upper,method,quality_metrics
Northern Ireland,N92000002,gdhi_per_head_gbp,2010,13226.0,income,historical,,,,
Northern Ireland,N92000002,gdhi_total_mn_gbp,2010,23870.0,income,historical,,,,
Scotland,S92000003,gdhi_per_head_gbp,2010,15417.0,income,historical,,,,
Scotland,S92000003,gdhi_total_mn_gbp,2010,81128.0,income,historical,,,,
Wales,W92000004,gdhi_per_head_gbp,2010,13660.0,income,historical,,,,
Wales,W92000004,gdhi_total_mn_gbp,2010,41662.0,income,historical,,,,
North East,E12000001,gdhi_per_head_gbp,2011,13654.0,income,historical,,,,
North East,E12000001,gdhi_total_mn_gbp,2011,35451.0,income,historical,,,,
North West,E12000002,gdhi_per_head_gbp,2011,14506.0,income,historical,,,,
North West,E12000002,gdhi_total_mn_gbp,2011,102352.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_per_head_gbp,2011,14067.0,income,historical,,,,
Yorkshire & Humber,E12000003,gdhi_total_mn_gbp,2011,74388.0,income,historical,,,,
East Midlands,E12000004,gdhi_per_head_gbp,2011,14499.0,income,historical,,,,
East Midlands,E12000004,gdhi_total_mn_gbp,2011,65789.0,income,historical,,,,
